traits;fgn.membership;fwt.membership
gordonphiliph;1;1
sullivanjacob;1;1
humaabedin;1;1
burnswilliam;1;1
nidesthomasr;1;1
feldmandanielf;1;1
jacobsonrobertas;1;1
shermanwendyr;1;1
haledavidm;1;1
campbellkurtm;1;1
kohharoldhongju;1;1
feltmanjeffreyd;1;1
hanleymonicar;1;1
ricesusane;1;1
jilotylaurenc;1;1
vermarichardr;1;2
klevorickcaitlinb;1;2
annemarieslaughter;1;2
mchalejuditha;1;2
steinbergjamesb;1;2
crowleyphilipj;1;2
cherylmills;1;3
lewjacob;1;3
toivnoraf;1;3
kellycraiga;1;3
kennedypatrickf;1;3
valmorolona;1;3
mullstephend;1;3
mertenkennethh;1;3
reinesphilippei;1;3
verveermelannes;1;3
rodriguezmiguele;1;3
opsnewsticker;2;4